2020-04-22 09:37:18,601 [AUDIT] Token created by 'anonymous': tokenId='61482148-d819-4796-87db-3e51b0e9654c', issuer='jfrou@01e6gkz5mj75e8whsva5r4rjc6', subject='jfrou@01e6gkz5mj75e8whsva5r4rjc6', expiry=none, refreshable=false
2020-04-22 09:37:21,874 [AUDIT] Token created by 'anonymous': tokenId='7dcc8ddb-b476-42ed-9124-0a7e8a50b015', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587548361861, refreshable=false
2020-04-22 09:37:22,036 [AUDIT] Token created by 'anonymous': tokenId='4c0e94db-a87e-4291-95b1-bf4cbaebd04f', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587548362028, refreshable=false
2020-04-22 09:37:22,362 [AUDIT] Token created by 'anonymous': tokenId='9ab679d8-4190-40e8-a88b-583f03edce45', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587548362263, refreshable=false
2020-04-22 09:37:22,797 [AUDIT] Token created by 'anonymous': tokenId='644f20ba-fc47-476c-90e1-b489a8ca26cd', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587548362792, refreshable=false
2020-04-22 09:37:22,985 [AUDIT] Token created by 'anonymous': tokenId='a3726ff7-a4fb-4d1a-835f-ae3f3b6bce04', issuer='jfmd@01e6gkz74qm614k82x689eq128', subject='jfmd@01e6gkz74qm614k82x689eq128', expiry=none, refreshable=false
2020-04-22 09:37:23,610 [AUDIT] Token created by 'anonymous': tokenId='23e485f0-c987-45e0-ab61-506b3d986011', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587548363604, refreshable=false
2020-04-22 09:37:24,366 [AUDIT] Token created by 'anonymous': tokenId='47d176c4-1027-4c04-9c13-a8293e02ff3e', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=none, refreshable=false
2020-04-22 09:37:25,707 [AUDIT] Token created by 'jfrt@01e6gkzhtba2gz14rj5jrj009s': tokenId='138abe9f-60de-4afb-9c54-f08edcd82a26', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=2533628245703, refreshable=false
2020-04-22 09:37:32,384 [AUDIT] Token created by 'anonymous': tokenId='b688571a-348b-4c68-9607-2057344f203d', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-22 09:37:32,438 [AUDIT] Token created by 'jffe@000': tokenId='bdd05506-4aa8-4718-8ddb-ff7616726a31', issuer='jffe@000', subject='jffe@000', expiry=1587548852433, refreshable=false
