2020-05-08T16:38:21.814Z|2f2b5fffe0382f51|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|160|-|375.991|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.024Z|6ae494f9ac3c5431|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|395.902|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.390Z|2f42c2d0dfd1b29d|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|856.313|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.428Z|16e1938082811dc9|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|15.608|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.675Z|2696bdfce3a3b750|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|401|12|-|215.896|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.738Z|6877e2af08f9c7da|::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|10.284|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.789Z|13d2e299ebf283c4|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|31.019|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:22.873Z|48a468a2d6d4f8d5|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|82.104|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:23.243Z|65f06549505959dd|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|16.073|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:23.316Z|59e13cc3384f0c15|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|404|74|-|71.327|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:24.582Z|1f578960ba35a975|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/treebrowser/repoOrder|401|12|-|23.507|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:24.709Z|119a0754227a7ded|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|91.063|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:27.102Z|5d9983fd09044547|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/login?_spring_security_remember_me=false|200|423|54|344.066|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:27.405Z|73b93a5bbac4dd46|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|179.704|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:27.453Z|603bebf8bd7015ad|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|245.050|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:38:27.607Z|18104c7bd2ed51f1|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|29.204|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
